scheme,model,cutoff_year,train_start_year,train_end_year,test_start_year,test_end_year,train_rows,test_rows,accuracy,precision,recall,f1_score,tn,fp,fn,tp,predicted_positive_rate,actual_positive_rate,roc_auc,average_precision,brier_score,log_loss,f1_difference_vs_persistence
rolling_one_year,Persistence baseline,2012,1989,2012,2013,2013,4529,194,0.9381443298969072,0.8571428571428571,0.8936170212765957,0.875,140,7,5,42,0.25257731958762886,0.2422680412371134,,,,,0.0
rolling_one_year,Logistic Regression scaled - World Bank all raw,2012,1989,2012,2013,2013,4529,194,0.9381443298969072,0.8571428571428571,0.8936170212765957,0.875,140,7,5,42,0.25257731958762886,0.2422680412371134,0.971052250687509,0.9439104811329881,0.05067807663730153,0.18732327680861274,0.0
rolling_one_year,Persistence baseline,2013,1989,2013,2014,2014,4723,194,0.9020618556701031,0.8936170212765957,0.75,0.8155339805825242,133,5,14,42,0.2422680412371134,0.28865979381443296,,,,,0.0
rolling_one_year,Logistic Regression scaled - World Bank all raw,2013,1989,2013,2014,2014,4723,194,0.9020618556701031,0.8775510204081632,0.7678571428571429,0.819047619047619,132,6,13,43,0.25257731958762886,0.28865979381443296,0.9393115942028986,0.9089901632998519,0.07341279748503077,0.24901281248765847,0.0035136384650947816
rolling_one_year,Persistence baseline,2014,1989,2014,2015,2015,4917,194,0.9123711340206185,0.8571428571428571,0.8421052631578947,0.8495575221238938,129,8,9,48,0.28865979381443296,0.29381443298969073,,,,,0.0
rolling_one_year,Logistic Regression scaled - World Bank all raw,2014,1989,2014,2015,2015,4917,194,0.9381443298969072,0.9411764705882353,0.8421052631578947,0.8888888888888888,134,3,9,48,0.26288659793814434,0.29381443298969073,0.9521065437315918,0.9387102573106703,0.05678436175354653,0.20748932915305593,0.039331366764995046
rolling_one_year,Persistence baseline,2015,1989,2015,2016,2016,5111,194,0.8917525773195877,0.8245614035087719,0.8103448275862069,0.8173913043478261,126,10,11,47,0.29381443298969073,0.29896907216494845,,,,,0.0
rolling_one_year,Logistic Regression scaled - World Bank all raw,2015,1989,2015,2016,2016,5111,194,0.9072164948453608,0.8846153846153846,0.7931034482758621,0.8363636363636363,130,6,12,46,0.26804123711340205,0.29896907216494845,0.9496703853955375,0.9308010669557256,0.06982354073248075,0.23892092994930092,0.018972332015810167
rolling_one_year,Persistence baseline,2016,1989,2016,2017,2017,5305,194,0.9020618556701031,0.8448275862068966,0.8305084745762712,0.8376068376068376,126,9,10,49,0.29896907216494845,0.30412371134020616,,,,,0.0
rolling_one_year,Logistic Regression scaled - World Bank all raw,2016,1989,2016,2017,2017,5305,194,0.9175257731958762,0.9056603773584906,0.8135593220338984,0.8571428571428571,130,5,11,48,0.27319587628865977,0.30412371134020616,0.9578154425612054,0.9407198792318683,0.0644366514537934,0.2224237506779154,0.019536019536019467
rolling_one_year,Persistence baseline,2017,1989,2017,2018,2018,5499,194,0.8917525773195877,0.8813559322033898,0.7878787878787878,0.832,121,7,14,52,0.30412371134020616,0.3402061855670103,,,,,0.0
rolling_one_year,Logistic Regression scaled - World Bank all raw,2017,1989,2017,2018,2018,5499,194,0.9072164948453608,0.9137931034482759,0.803030303030303,0.8548387096774194,123,5,13,53,0.29896907216494845,0.3402061855670103,0.9622395833333333,0.9451559744490966,0.0699743987928532,0.2315420573234573,0.02283870967741941
