country,year,region,target_conflict_next_year,organized_violence_exists,predicted_conflict_next_year,predicted_conflict_probability,risk_band,prediction_result
Tunisia,2023,Africa,0,1,1,0.8887010857305689,very_high,false_positive
Lebanon,2018,Middle East,0,1,1,0.8798809440082475,very_high,false_positive
Azerbaijan,2023,Europe,0,1,1,0.874602957299001,very_high,false_positive
China,2017,Asia,0,1,1,0.8732924654241678,very_high,false_positive
Peru,2017,Americas,0,1,1,0.8652530276444498,very_high,false_positive
Rwanda,2019,Africa,0,1,1,0.8595218439936702,very_high,false_positive
Armenia,2023,Europe,0,1,1,0.8519799225297238,very_high,false_positive
Lebanon,2020,Middle East,0,1,1,0.8499298071912191,very_high,false_positive
Uganda,2019,Africa,0,1,1,0.8414980228678244,very_high,false_positive
Peru,2023,Americas,0,1,1,0.8293681908174708,very_high,false_positive
Senegal,2021,Africa,0,1,1,0.8281374955634707,very_high,false_positive
Saudi Arabia,2021,Middle East,0,1,1,0.8219326785031522,very_high,false_positive
Saudi Arabia,2023,Middle East,0,1,1,0.8117042624628157,very_high,false_positive
China,2023,Asia,0,1,1,0.7945997534969037,high,false_positive
France,2018,Europe,0,1,1,0.7897249259926385,high,false_positive
Tajikistan,2019,Asia,0,1,1,0.7849035487235339,high,false_positive
Congo,2022,Africa,0,1,1,0.756511537419735,high,false_positive
Madagascar (Malagasy),2020,Africa,0,1,1,0.7563017463358982,high,false_positive
Liberia,2020,Africa,0,1,1,0.7421593741623604,high,false_positive
Zimbabwe (Rhodesia),2020,Africa,0,1,1,0.7404087020461227,high,false_positive
Kingdom of eSwatini (Swaziland),2023,Africa,0,1,1,0.726969502589635,high,false_positive
El Salvador,2022,Americas,0,1,1,0.7239111783296045,high,false_positive
Mauritania,2020,Africa,0,1,1,0.7101288522146247,high,false_positive
Guinea,2021,Africa,0,1,1,0.7098545155761403,high,false_positive
Paraguay,2021,Americas,0,1,1,0.697415128591548,high,false_positive
United Kingdom,2019,Europe,0,1,1,0.6531022700579339,high,false_positive
Madagascar (Malagasy),2017,Africa,0,1,1,0.6403521116469659,high,false_positive
Malaysia,2017,Asia,0,1,1,0.6260457688540332,high,false_positive
United States of America,2019,Americas,0,1,1,0.6081243400834403,high,false_positive
China,2018,Asia,0,0,1,0.5991311441975339,moderate,false_positive
Eritrea,2022,Africa,0,1,1,0.5904069556002384,moderate,false_positive
Ivory Coast,2020,Africa,0,1,1,0.5821247087288405,moderate,false_positive
El Salvador,2019,Americas,0,1,1,0.5634884413428757,moderate,false_positive
Papua New Guinea,2019,Asia,0,1,1,0.5446771295011884,moderate,false_positive
Senegal,2018,Africa,0,1,1,0.5302071615829245,moderate,false_positive
