experiment,model,accuracy,precision,recall,f1_score,tn,fp,fn,tp,f1_difference_vs_persistence
dataset_temporal,Logistic Regression,0.9132653061224489,0.8546255506607929,0.8798185941043084,0.8670391061452514,865,66,53,388,0.009896249002394275
reference,Persistence baseline,0.9081632653061225,0.8571428571428571,0.8571428571428571,0.8571428571428571,868,63,63,378,0.0
dataset_base,Random Forest,0.9081632653061225,0.8571428571428571,0.8571428571428571,0.8571428571428571,868,63,63,378,0.0
