scheme,model,cutoff_year,train_start_year,train_end_year,test_start_year,test_end_year,train_rows,test_rows,accuracy,precision,recall,f1_score,tn,fp,fn,tp,predicted_positive_rate,actual_positive_rate,roc_auc,average_precision,brier_score,log_loss,f1_difference_vs_persistence
official_split_reproduction,Persistence baseline,2016,1989,2016,2017,2023,5305,1358,0.9072164948453608,0.8571428571428571,0.8571428571428571,0.8571428571428571,854,63,63,378,0.3247422680412371,0.3247422680412371,,,,,0.0
official_split_reproduction,Logistic Regression scaled - World Bank all raw,2016,1989,2016,2017,2023,5305,1358,0.9197349042709867,0.9029126213592233,0.8435374149659864,0.8722157092614302,877,40,69,372,0.30338733431516934,0.3247422680412371,0.9651431637722337,0.9481744072625685,0.06296534024219087,0.2141563282749654,0.015072852118573121
