experiment,model,feature_count,accuracy,precision,recall,f1_score,tn,fp,fn,tp,f1_difference_vs_persistence
world_bank_all_raw,Logistic Regression scaled,33,0.9197349042709867,0.9029126213592233,0.8435374149659864,0.8722157092614302,877,40,69,372,0.015072852118573121
world_bank_wave_1_engineered,Logistic Regression scaled,53,0.9182621502209131,0.8928571428571429,0.8503401360544217,0.8710801393728222,872,45,66,375,0.013937282229965153
world_bank_all_engineered,Logistic Regression scaled,73,0.9175257731958762,0.8926014319809069,0.8480725623582767,0.8697674418604651,872,45,67,374,0.012624584717607967
world_bank_wave_2_engineered,Logistic Regression scaled,43,0.9167893961708394,0.8980582524271845,0.8390022675736961,0.8675263774912075,875,42,71,370,0.010383520348350439
world_bank_wave_2_raw,Logistic Regression scaled,27,0.9167893961708394,0.9019607843137255,0.8344671201814059,0.866902237926973,877,40,73,368,0.009759380784115868
ucdp_temporal,Logistic Regression scaled,23,0.9160530191458026,0.8958837772397095,0.8390022675736961,0.8665105386416861,874,43,71,370,0.00936768149882905
world_bank_wave_1_raw,Logistic Regression scaled,29,0.9153166421207658,0.8918269230769231,0.8412698412698413,0.8658109684947491,872,45,70,371,0.00866811135189205
reference,Persistence baseline,1,0.9072164948453608,0.8571428571428571,0.8571428571428571,0.8571428571428571,854,63,63,378,0.0
ucdp_base,Logistic Regression scaled,16,0.9072164948453608,0.8604118993135011,0.8526077097505669,0.856492027334852,856,61,65,376,-0.0006508298080051267
