model,feature_count,accuracy,precision,recall,f1_score,tn,fp,fn,tp,f1_difference_vs_persistence
Logistic Regression scaled - World Bank all raw,33,0.9197349042709867,0.9029126213592233,0.8435374149659864,0.8722157092614302,877,40,69,372,0.015072852118573121
Random Forest - World Bank all raw,33,0.9123711340206185,0.859375,0.873015873015873,0.8661417322834646,854,63,56,385,0.008998875140607487
Gradient Boosting - World Bank all raw,33,0.9138438880706922,0.9196891191709845,0.8049886621315193,0.8585247883917775,886,31,86,355,0.0013819312489203872
Persistence baseline,1,0.9072164948453608,0.8571428571428571,0.8571428571428571,0.8571428571428571,854,63,63,378,0.0
MLP scaled - World Bank all raw,33,0.9094256259204713,0.9206349206349206,0.7891156462585034,0.8498168498168498,887,30,93,348,-0.0073260073260073
