region,cases,countries,actual_positive_rate,predicted_positive_rate,mean_predicted_probability,max_predicted_probability,accuracy,precision,recall,f1_score,true_negatives,false_positives,false_negatives,true_positives
Middle East,105,15,0.5619047619047619,0.5619047619047619,0.5960753881216259,0.999999999997308,0.9047619047619048,0.9152542372881356,0.9152542372881356,0.9152542372881356,41,5,5,54
Africa,371,53,0.555256064690027,0.5256064690026954,0.5537281396769589,1.0,0.8679245283018868,0.9025641025641026,0.8543689320388349,0.8778054862842892,146,19,30,176
Americas,245,35,0.27755102040816326,0.2530612244897959,0.28244201224021326,0.999999999966706,0.926530612244898,0.9032258064516129,0.8235294117647058,0.8615384615384616,171,6,12,56
Asia,301,43,0.23588039867109634,0.21926910299003322,0.27368768587268466,0.9999960038630888,0.9435215946843853,0.9090909090909091,0.8450704225352113,0.8759124087591241,224,6,11,60
Europe,336,48,0.11011904761904762,0.08928571428571429,0.12073656386365778,0.9999999999635364,0.9553571428571429,0.8666666666666667,0.7027027027027027,0.7761194029850746,295,4,11,26
