model,accuracy,precision,recall,f1_score,tn,fp,fn,tp,f1_difference_vs_persistence
Persistence baseline,0.9072164948453608,0.8571428571428571,0.8571428571428571,0.8571428571428571,854,63,63,378,0.0
Logistic Regression scaled - World Bank engineered,0.9175257731958762,0.8926014319809069,0.8480725623582767,0.8697674418604651,872,45,67,374,0.012624584717607967
