country,region,years_observed,first_test_year,last_test_year,actual_conflict_years,predicted_conflict_years,previous_conflict_years,mean_predicted_probability,max_predicted_probability,actual_conflict_rate,predicted_conflict_rate
Italy,Europe,7,2017,2023,0,0,0,0.0548035324389538,0.0678504559043186,0.0,0.0
Vanuatu,Asia,7,2017,2023,0,0,0,0.05069245238011919,0.0670992870319894,0.0,0.0
Suriname,Americas,7,2017,2023,0,0,0,0.05000002576070089,0.0669157537174828,0.0,0.0
Netherlands,Europe,7,2017,2023,0,0,0,0.04633041784488423,0.0629632432324924,0.0,0.0
Oman,Middle East,7,2017,2023,0,0,0,0.04856936126578187,0.0620927484727731,0.0,0.0
Gabon,Africa,7,2017,2023,0,0,0,0.05023739710303804,0.0590006216532805,0.0,0.0
Canada,Americas,7,2017,2023,0,0,0,0.0502287463395792,0.0580894960782202,0.0,0.0
Cape Verde,Africa,7,2017,2023,0,0,0,0.037469008497296605,0.057887360500965,0.0,0.0
Turkmenistan,Asia,7,2017,2023,0,0,0,0.0452299098516225,0.0575207987048195,0.0,0.0
Mongolia,Asia,7,2017,2023,0,0,0,0.04668975276657803,0.0558756885732333,0.0,0.0
Belize,Americas,7,2017,2023,0,0,0,0.041896968225000344,0.0548127621392602,0.0,0.0
Fiji,Asia,7,2017,2023,0,0,0,0.03699842713516339,0.0540039736160998,0.0,0.0
Antigua & Barbuda,Americas,7,2017,2023,0,0,0,0.030456174851914798,0.0538492256243374,0.0,0.0
Nauru,Asia,7,2017,2023,0,0,0,0.03775370996974904,0.0537513642885464,0.0,0.0
Saint Lucia,Americas,7,2017,2023,0,0,0,0.03240146744004737,0.0530295162354407,0.0,0.0
Kiribati,Asia,7,2017,2023,0,0,0,0.04429823866868277,0.0510575545789959,0.0,0.0
Dominican Republic,Americas,7,2017,2023,0,0,0,0.03951442786193025,0.0508491676081598,0.0,0.0
Kazakhstan,Asia,7,2017,2023,0,0,0,0.0426497063947323,0.0488368927622182,0.0,0.0
Sao Tome and Principe,Africa,7,2017,2023,0,0,0,0.04700027085003483,0.0478437500555431,0.0,0.0
Samoa (Western Samoa),Asia,7,2017,2023,0,0,0,0.04281822850570942,0.0477561274246142,0.0,0.0
Vietnam (North Vietnam),Asia,7,2017,2023,0,0,0,0.04318497002683521,0.047511309557788,0.0,0.0
North Korea,Asia,7,2017,2023,0,0,0,0.04280668062772987,0.046486396349671,0.0,0.0
Mauritius,Africa,7,2017,2023,0,0,0,0.032789478903874514,0.0454223898178188,0.0,0.0
Kosovo,Europe,7,2017,2023,0,0,0,0.035236420039081826,0.0451808073355112,0.0,0.0
Bahamas,Americas,7,2017,2023,0,0,0,0.026954500478056313,0.0448248952552017,0.0,0.0
Federated States of Micronesia,Asia,7,2017,2023,0,0,0,0.04233817004613229,0.0447635548839548,0.0,0.0
Montenegro,Europe,7,2017,2023,0,0,0,0.03066150085659583,0.0444631593577754,0.0,0.0
Tonga,Asia,7,2017,2023,0,0,0,0.0373229539248506,0.0440901423683309,0.0,0.0
Grenada,Americas,7,2017,2023,0,0,0,0.033542692704512274,0.0433052868176681,0.0,0.0
Dominica,Americas,7,2017,2023,0,0,0,0.0319004224062282,0.0424274444140726,0.0,0.0
Brunei,Asia,7,2017,2023,0,0,0,0.03503234659088134,0.0417315119526293,0.0,0.0
Cuba,Americas,7,2017,2023,0,0,0,0.03587249511932357,0.0413377002250679,0.0,0.0
Seychelles,Africa,7,2017,2023,0,0,0,0.030696598163691573,0.041206119775503,0.0,0.0
Palau,Asia,7,2017,2023,0,0,0,0.0329422252514806,0.039647585010211,0.0,0.0
Tuvalu,Asia,7,2017,2023,0,0,0,0.031928313667542695,0.0394690323614708,0.0,0.0
Chile,Americas,7,2017,2023,0,0,0,0.03330834345774312,0.0392690827638523,0.0,0.0
Barbados,Americas,7,2017,2023,0,0,0,0.0263185815865494,0.0365230529806275,0.0,0.0
Saint Kitts and Nevis,Americas,7,2017,2023,0,0,0,0.023549825633837514,0.0353506249150151,0.0,0.0
Belarus,Europe,7,2017,2023,0,0,0,0.03277891820532277,0.034950454296583,0.0,0.0
Saint Vincent and the Grenadines,Americas,7,2017,2023,0,0,0,0.024849148118089158,0.0344205026055383,0.0,0.0
Greece,Europe,7,2017,2023,0,0,0,0.02433871437346696,0.0322397987277433,0.0,0.0
Slovakia,Europe,7,2017,2023,0,0,0,0.028541662200295914,0.0321972699366755,0.0,0.0
Hungary,Europe,7,2017,2023,0,0,0,0.026892107328696586,0.0319274471849863,0.0,0.0
Marshall Islands,Asia,7,2017,2023,0,0,0,0.027148398968745113,0.0318047011766484,0.0,0.0
Czech Republic,Europe,7,2017,2023,0,0,0,0.0269185833426022,0.0317505368298041,0.0,0.0
Andorra,Europe,7,2017,2023,0,0,0,0.024019752663438455,0.0316153133748158,0.0,0.0
Bulgaria,Europe,7,2017,2023,0,0,0,0.02785149244380963,0.0312162176990785,0.0,0.0
San Marino,Europe,7,2017,2023,0,0,0,0.024209964736507186,0.03119849855592,0.0,0.0
Uruguay,Americas,7,2017,2023,0,0,0,0.0249008882143558,0.0309808728018943,0.0,0.0
Cyprus,Europe,7,2017,2023,0,0,0,0.02385667197249213,0.0293441162462166,0.0,0.0
Costa Rica,Americas,7,2017,2023,0,0,0,0.024429102433011756,0.0291019400148733,0.0,0.0
Portugal,Europe,7,2017,2023,0,0,0,0.022909453973470374,0.0284413313393473,0.0,0.0
Latvia,Europe,7,2017,2023,0,0,0,0.02533105101711917,0.0281825648357784,0.0,0.0
Slovenia,Europe,7,2017,2023,0,0,0,0.022990102850261842,0.0279379754843765,0.0,0.0
Estonia,Europe,7,2017,2023,0,0,0,0.024924893329788613,0.0273009026699373,0.0,0.0
South Korea,Asia,7,2017,2023,0,0,0,0.024566956245660656,0.0266381550376855,0.0,0.0
Lithuania,Europe,7,2017,2023,0,0,0,0.024563916457539914,0.026416429221392,0.0,0.0
Japan,Asia,7,2017,2023,0,0,0,0.02437779252392,0.0258466963280845,0.0,0.0
New Zealand,Asia,7,2017,2023,0,0,0,0.019646617939988387,0.0231407766110877,0.0,0.0
Iceland,Europe,7,2017,2023,0,0,0,0.014308076450857686,0.0198421090869896,0.0,0.0
Singapore,Asia,7,2017,2023,0,0,0,0.014130611285759629,0.0166597652418414,0.0,0.0
Finland,Europe,7,2017,2023,0,0,0,0.013051591065057572,0.0143004512208793,0.0,0.0
Denmark,Europe,7,2017,2023,0,0,0,0.012541650874195173,0.0141837859921161,0.0,0.0
Norway,Europe,7,2017,2023,0,0,0,0.011218503644285857,0.0141384414037294,0.0,0.0
Switzerland,Europe,7,2017,2023,0,0,0,0.0107187514484695,0.0128404827150868,0.0,0.0
Ireland,Europe,7,2017,2023,0,0,0,0.008382271179254285,0.0112008614330559,0.0,0.0
Luxembourg,Europe,7,2017,2023,0,0,0,0.007324210754186914,0.00958070404233,0.0,0.0
Monaco,Europe,7,2017,2023,0,0,0,0.002581834848496057,0.0048060206087083,0.0,0.0
Liechtenstein,Europe,7,2017,2023,0,0,0,0.0026226320733958143,0.0029810759287936,0.0,0.0
