experiment,model,accuracy,precision,recall,f1_score,tn,fp,fn,tp
reference,Persistence baseline,0.9081632653061225,0.8571428571428571,0.8571428571428571,0.8571428571428571,868,63,63,378
dataset_base,Logistic Regression,0.9081632653061225,0.8604118993135011,0.8526077097505669,0.856492027334852,870,61,65,376
dataset_base,Logistic Regression scaled,0.9081632653061225,0.8604118993135011,0.8526077097505669,0.856492027334852,870,61,65,376
dataset_base,Decision Tree,0.9016034985422741,0.9526627218934911,0.7301587301587301,0.8267008985879333,915,16,119,322
dataset_base,Random Forest,0.9081632653061225,0.8571428571428571,0.8571428571428571,0.8571428571428571,868,63,63,378
dataset_temporal,Logistic Regression,0.9132653061224489,0.8546255506607929,0.8798185941043084,0.8670391061452514,865,66,53,388
dataset_temporal,Logistic Regression scaled,0.9161807580174927,0.893719806763285,0.8390022675736961,0.8654970760233918,887,44,71,370
dataset_temporal,Decision Tree,0.89067055393586,0.8197802197802198,0.8458049886621315,0.8325892857142857,849,82,68,373
dataset_temporal,Random Forest,0.9030612244897959,0.8276595744680851,0.8820861678004536,0.854006586169045,850,81,52,389
