experiment,model,accuracy,precision,recall,f1_score,tn,fp,fn,tp,f1_difference_vs_persistence
reference,Persistence baseline,0.9072164948453608,0.8571428571428571,0.8571428571428571,0.8571428571428571,854,63,63,378,0.0
temporal_only,Logistic Regression scaled,0.9160530191458026,0.8958837772397095,0.8390022675736961,0.8665105386416861,874,43,71,370,0.00936768149882905
temporal_only,Decision Tree,0.8895434462444771,0.8197802197802198,0.8458049886621315,0.8325892857142857,835,82,68,373,-0.024553571428571397
temporal_only,Random Forest,0.9005891016200295,0.8311688311688312,0.8707482993197279,0.8504983388704319,839,78,57,384,-0.006644518272425182
temporal_world_bank,Logistic Regression scaled,0.9153166421207658,0.8918269230769231,0.8412698412698413,0.8658109684947491,872,45,70,371,0.00866811135189205
temporal_world_bank,Decision Tree,0.9013254786450663,0.8218029350104822,0.8888888888888888,0.8540305010893247,832,85,49,392,-0.003112356053532439
temporal_world_bank,Random Forest,0.9042709867452136,0.8344086021505376,0.8798185941043084,0.8565121412803532,840,77,53,388,-0.00063071586250385
