risk_level,risk_level_description,countries,mean_probability,min_probability,max_probability,predicted_positive_count,actual_positive_count
very_high,risco muito alto,54,0.9507112493483431,0.8042397495796229,0.9999999999999832,54,48
high,risco alto,5,0.7182506413327644,0.6172597008899549,0.7945997534969037,5,3
moderate,risco moderado,4,0.46777860591825593,0.4142779708374979,0.5360560538993169,1,3
low,risco baixo,11,0.2716387326052056,0.2058848436037815,0.3759440799652959,0,0
very_low,risco muito baixo,120,0.05580943152502564,0.0008963354878484,0.1975635393400033,0,4
